Feature,Importance
Percent_income,0.3333863012651628
Rate,0.21059479514644988
Home,0.15562297391401475
Income,0.14348351634298803
Amount,0.048871751771377994
Intent,0.041669579031211726
Emp_length,0.029996647181317556
Default,0.023876870207757483
Age,0.007236513172968433
Cred_length,0.005261051966751315
